node,sample,,index_sampled,rt_sampled,index,subj_idx,study,phase,trial,offer,fair_cat,rev_con,response,rt,rev_cat,rev_centered,fair_con
wfpt.1,0,106,316,1.968476162074754,316,1,Victim,group,357,0.699999999999999,unfair,2.0,1,0.9733697070000741,Two,0.0,1
wfpt.1,0,107,323,1.7662761620747542,323,1,Victim,group,364,0.0999999999999996,unfair,2.0,1,3.67753904399979,Two,0.0,1
wfpt.1,0,108,324,0.8306408231998864,324,1,Victim,group,365,0.19999999999999898,unfair,3.0,1,0.988435151999965,Three,1.0,1
wfpt.1,0,109,325,1.449073700353519,325,1,Victim,group,366,1.1,unfair,0.0,0,-3.73511935599981,Zero,-3.0,1
wfpt.1,0,110,327,2.1673044868957976,327,1,Victim,group,368,1.3,unfair,4.0,1,0.604677384999832,Four,3.0,1
wfpt.1,0,111,329,2.4731296664834366,329,1,Victim,alone,370,0.6,unfair,,1,1.48918209200019,Alone,,1
wfpt.1,0,112,330,1.5052460532268874,330,1,Victim,group,371,0.6,unfair,1.0,1,2.17340477100015,One,-1.0,1
wfpt.1,1,0,4,1.0087029509142638,4,1,Victim,group,37,1.3,unfair,1.0,0,-1.5990411169996201,One,-1.0,1
wfpt.1,1,1,8,0.8387844888477756,8,1,Victim,group,41,0.5,unfair,4.0,1,1.79914280200001,Four,3.0,1
wfpt.1,1,2,9,1.4821844888477758,9,1,Victim,group,42,0.6,unfair,4.0,1,0.6858741000000921,Four,3.0,1
wfpt.1,1,3,21,3.383184488847776,21,1,Victim,group,54,0.30000000000000104,unfair,4.0,1,1.2205414619998,Four,3.0,1
wfpt.1,1,4,27,0.7091609087781336,27,1,Victim,group,61,0.30000000000000104,unfair,3.0,1,1.27127151400009,Three,1.0,1
wfpt.1,1,5,36,1.887520552305575,36,1,Victim,group,70,1.1,unfair,2.0,0,-1.5137629880000503,Two,0.0,1
wfpt.1,1,6,37,3.3571229718900675,37,1,Victim,group,71,0.19999999999999898,unfair,0.0,0,-2.1382530629998704,Zero,-3.0,1
wfpt.1,1,7,39,1.854520552305575,39,1,Victim,group,73,0.4,unfair,2.0,1,3.0557329540001805,Two,0.0,1
wfpt.1,1,8,40,0.8947229718900671,40,1,Victim,group,74,0.800000000000001,unfair,0.0,0,-1.46247351000011,Zero,-3.0,1
wfpt.1,1,9,46,0.8797844888477756,46,1,Victim,group,80,1.1,unfair,4.0,1,0.8515852710002041,Four,3.0,1
wfpt.1,1,10,48,1.4937609087781336,48,1,Victim,group,82,1.1,unfair,3.0,1,1.3551275560003,Three,1.0,1
wfpt.1,1,11,50,0.8797229718900672,50,1,Victim,group,85,0.5,unfair,0.0,0,-1.1666154200002,Zero,-3.0,1
wfpt.1,1,12,53,1.9731229718900671,53,1,Victim,group,88,1.3,unfair,0.0,0,-1.79348648299992,Zero,-3.0,1
wfpt.1,1,13,59,-0.993678208634028,59,1,Victim,group,94,0.19999999999999898,unfair,0.0,0,-3.5048431379996097,Zero,-3.0,1
wfpt.1,1,14,60,1.8641609087781337,60,1,Victim,group,95,0.6,unfair,3.0,1,1.9128253200001397,Three,1.0,1
wfpt.1,1,15,61,2.0777609087781337,61,1,Victim,group,96,1.1,unfair,3.0,1,3.3179213519997597,Three,1.0,1
wfpt.1,1,16,63,1.1249844888477758,63,1,Victim,group,98,1.2,unfair,4.0,1,0.7937433179999971,Four,3.0,1
wfpt.1,1,17,67,1.0397844888477756,67,1,Victim,group,102,1.1,unfair,4.0,1,1.6518605620003701,Four,3.0,1
wfpt.1,1,18,69,3.7341029509142643,69,1,Victim,group,104,1.2,unfair,1.0,0,-0.6447260850000021,One,-1.0,1
wfpt.1,1,19,75,3.3847229718900675,75,1,Victim,group,110,0.6,unfair,0.0,1,1.7778819549998799,Zero,-3.0,1
wfpt.1,1,20,76,-0.9032782086340281,76,1,Victim,group,111,0.699999999999999,unfair,0.0,0,-2.42136091400016,Zero,-3.0,1
wfpt.1,1,21,77,1.2832860774534038,77,1,Victim,alone,112,0.699999999999999,unfair,,1,1.78353129600009,Alone,,1
wfpt.1,1,22,78,1.2983205523055745,78,1,Victim,group,113,0.5,unfair,2.0,1,3.9366231290000497,Two,0.0,1
wfpt.1,1,23,79,1.6209229718900673,79,1,Victim,group,114,1.0,unfair,0.0,0,-3.7665715940002,Zero,-3.0,1
wfpt.1,1,24,80,2.5257609087781336,80,1,Victim,group,115,1.2,unfair,3.0,1,1.30982624500029,Three,1.0,1
wfpt.1,1,25,82,1.086886077453404,82,1,Victim,alone,117,0.19999999999999898,unfair,,1,1.70318450900004,Alone,,1
wfpt.1,1,26,83,2.1585205523055744,83,1,Victim,group,118,0.6,unfair,2.0,1,2.05922665699973,Two,0.0,1
wfpt.1,1,27,84,-1.6101396369342567,84,1,Victim,group,119,0.800000000000001,unfair,1.0,0,-0.8277993219999191,One,-1.0,1
wfpt.1,1,28,85,0.9607844888477756,85,1,Victim,group,120,0.19999999999999898,unfair,4.0,1,0.915229180000097,Four,3.0,1
wfpt.1,1,29,91,2.411702950914264,91,1,Victim,group,126,0.5,unfair,1.0,0,-0.7482226269999049,One,-1.0,1
wfpt.1,1,30,92,2.8723205523055753,92,1,Victim,group,127,1.1,unfair,2.0,1,1.53758974600032,Two,0.0,1
wfpt.1,1,31,96,0.9833609087781336,96,1,Victim,group,131,0.699999999999999,unfair,3.0,1,1.16166480299989,Three,1.0,1
wfpt.1,1,32,99,0.8364860774534038,99,1,Victim,alone,134,0.5,unfair,,1,2.2349489459997995,Alone,,1
wfpt.1,1,33,107,-2.759958420591262,107,1,Victim,group,142,0.800000000000001,unfair,2.0,1,1.27466806199982,Two,0.0,1
